epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.78078,0.71066,0.75,1,0.73779,7.14e-06,7.14e-06,7.14e-06
2,7.03111,0.7104,0.75,1,0.73291,2.12079e-05,2.12079e-05,2.12079e-05
3,9.36367,0.70151,0.75,1,0.73291,3.49931e-05,3.49931e-05,3.49931e-05
4,14.2963,0.67949,0.5,1,0.73486,4.84956e-05,4.84956e-05,4.84956e-05
5,16.3267,0.6107,0.5,1,0.7373,6.17153e-05,6.17153e-05,6.17153e-05
6,18.6327,0.58664,0.5,1,0.74512,7.46523e-05,7.46523e-05,7.46523e-05
7,22.1388,0.54487,0.5,1,0.75488,8.73065e-05,8.73065e-05,8.73065e-05
8,23.7392,0.50677,0.25,1,0.76416,9.9678e-05,9.9678e-05,9.9678e-05
9,26.1345,0.41573,0.25,1,0.76562,0.000111767,0.000111767,0.000111767
10,30.2819,0.38307,0.25,1,0.77441,0.000123573,0.000123573,0.000123573
11,32.6833,0.35353,0.25,1,0.77393,0.000135096,0.000135096,0.000135096
12,35.8281,0.31146,0.25,1,0.77637,0.000146336,0.000146336,0.000146336
13,37.4131,0.30197,0.25,1,0.78369,0.000157294,0.000157294,0.000157294
14,38.9972,0.26865,0.25,1,0.78516,0.000167969,0.000167969,0.000167969
15,40.763,0.27692,0.5,1,0.78418,0.000178361,0.000178361,0.000178361
16,42.5127,0.19642,0.5,1,0.78662,0.000188471,0.000188471,0.000188471
17,46.8524,0.1622,0.5,1,0.78857,0.000198298,0.000198298,0.000198298
18,49.2074,0.13897,0.5,1,0.78711,0.000207842,0.000207842,0.000207842
19,51.4092,0.13995,0.5,1,0.79834,0.000217103,0.000217103,0.000217103
20,56.8705,0.09882,0.5,1,0.79248,0.000226082,0.000226082,0.000226082
21,58.4835,0.14947,0.5,1,0.79004,0.000234777,0.000234777,0.000234777
22,60.38,0.06915,0.5,1,0.7915,0.000243191,0.000243191,0.000243191
23,62.598,0.05226,0.5,1,0.79785,0.000251321,0.000251321,0.000251321
24,67.1412,0.05864,0.5,1,0.79395,0.000259168,0.000259168,0.000259168
25,68.6486,0.05182,0.5,1,0.79492,0.000266733,0.000266733,0.000266733
26,70.816,0.02856,0.5,1,0.78857,0.000274015,0.000274015,0.000274015
27,72.641,0.03608,0.5,1,0.79395,0.000281015,0.000281015,0.000281015
28,77.5289,0.02871,0.5,1,0.79395,0.000287731,0.000287731,0.000287731
29,79.9978,0.03442,0.5,1,0.7915,0.000294165,0.000294165,0.000294165
30,81.9529,0.02098,0.5,1,0.79395,0.000300316,0.000300316,0.000300316
31,87.5908,0.01145,0.5,1,0.79395,0.000306185,0.000306185,0.000306185
32,89.1157,0.02211,0.5,1,0.78906,0.00031177,0.00031177,0.00031177
33,91.7053,0.02963,0.5,1,0.79541,0.000317073,0.000317073,0.000317073
34,94.2533,0.0189,0.5,1,0.79541,0.000322093,0.000322093,0.000322093
35,96.7389,0.01883,0.5,1,0.79492,0.000326831,0.000326831,0.000326831
36,101.961,0.03005,0.5,1,0.79395,0.000331285,0.000331285,0.000331285
37,103.529,0.13683,0.5,1,0.79395,0.000335457,0.000335457,0.000335457
38,105.581,0.00706,0.5,1,0.79248,0.000339346,0.000339346,0.000339346
39,107.452,0.02738,0.5,1,0.79199,0.000342953,0.000342953,0.000342953
40,112.193,0.02024,0.5,1,0.79199,0.000346276,0.000346276,0.000346276
41,113.838,0.0046,0.5,1,0.79199,0.000349317,0.000349317,0.000349317
42,116.196,0.00403,0.5,1,0.79297,0.000352076,0.000352076,0.000352076
43,117.915,0.00411,0.5,1,0.79297,0.000354551,0.000354551,0.000354551
44,119.649,0.00592,0.5,1,0.79883,0.000356744,0.000356744,0.000356744
45,121.335,0.00752,0.5,1,0.79883,0.000358654,0.000358654,0.000358654
46,126.627,0.006,0.5,1,0.80078,0.000360281,0.000360281,0.000360281
47,128.182,0.00774,0.5,1,0.80078,0.000361625,0.000361625,0.000361625
48,132.671,0.0211,0.5,1,0.80371,0.000362687,0.000362687,0.000362687
49,134.329,0.00625,0.5,1,0.80371,0.000363466,0.000363466,0.000363466
50,136.5,0.0047,0.5,1,0.8042,0.000363962,0.000363962,0.000363962
51,138.957,0.00194,0.5,1,0.8042,0.00036057,0.00036057,0.00036057
52,141.504,0.00284,0.5,1,0.80469,0.000353501,0.000353501,0.000353501
53,143.249,0.10728,0.5,1,0.80469,0.000346433,0.000346433,0.000346433
54,146.909,0.00773,0.5,1,0.80469,0.000339364,0.000339364,0.000339364
55,148.559,0.00903,0.5,1,0.80469,0.000332296,0.000332296,0.000332296
56,153.525,0.00633,0.5,1,0.8042,0.000325227,0.000325227,0.000325227
57,155.941,0.00145,0.5,1,0.8042,0.000318158,0.000318158,0.000318158
58,158.234,0.00282,0.5,1,0.80469,0.00031109,0.00031109,0.00031109
59,161.244,0.00363,0.5,1,0.80469,0.000304021,0.000304021,0.000304021
60,162.943,0.00128,0.5,1,0.80322,0.000296953,0.000296953,0.000296953
61,165.398,0.0165,0.5,1,0.80322,0.000289884,0.000289884,0.000289884
62,167.203,0.00767,0.5,1,0.80273,0.000282815,0.000282815,0.000282815
63,171.679,0.00301,0.5,1,0.80273,0.000275747,0.000275747,0.000275747
64,173.596,0.00128,0.5,1,0.80127,0.000268678,0.000268678,0.000268678
65,175.176,0.01314,0.5,1,0.80127,0.00026161,0.00026161,0.00026161
66,176.824,0.00216,0.5,1,0.80078,0.000254541,0.000254541,0.000254541
67,181.805,0.0061,0.5,1,0.80078,0.000247472,0.000247472,0.000247472
68,184.007,0.01003,0.5,1,0.7998,0.000240404,0.000240404,0.000240404
69,186.649,0.00141,0.5,1,0.7998,0.000233335,0.000233335,0.000233335
70,188.541,0.001,0.5,1,0.80078,0.000226267,0.000226267,0.000226267
71,191.978,0.01114,0.5,1,0.80078,0.000219198,0.000219198,0.000219198
72,193.926,0.00173,0.5,1,0.80176,0.000212129,0.000212129,0.000212129
73,195.603,0.01939,0.5,1,0.80176,0.000205061,0.000205061,0.000205061
74,197.824,0.00299,0.5,1,0.80078,0.000197992,0.000197992,0.000197992
75,204.328,0.00182,0.5,1,0.80078,0.000190924,0.000190924,0.000190924
76,205.963,0.00164,0.5,1,0.80127,0.000183855,0.000183855,0.000183855
77,208.146,0.00398,0.5,1,0.80127,0.000176786,0.000176786,0.000176786
78,209.796,0.00144,0.5,1,0.80176,0.000169718,0.000169718,0.000169718
79,213.851,0.00379,0.5,1,0.80176,0.000162649,0.000162649,0.000162649
80,218.743,0.00254,0.5,1,0.80078,0.000155581,0.000155581,0.000155581
81,220.372,0.00302,0.5,1,0.80078,0.000148512,0.000148512,0.000148512
82,225.362,0.00581,0.5,1,0.80078,0.000141443,0.000141443,0.000141443
83,231.004,0.00857,0.5,1,0.80078,0.000134375,0.000134375,0.000134375
