epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2036,1.42625,3.04523,1.66516,0.00343,1,0.7331,0.51436,0.3416,2.60501,0.25972,1.667e-05,1.667e-05,1.667e-05
2,11.1782,1.41275,2.97831,1.65096,0.00341,1,0.79045,0.47926,0.34366,2.60662,0.26796,4.95149e-05,4.95149e-05,4.95149e-05
3,12.177,1.13843,2.97293,1.46071,0.00346,1,0.6506,0.38059,0.27345,2.60474,0.22678,8.16997e-05,8.16997e-05,8.16997e-05
4,13.3287,1.09159,2.96414,1.46511,0.00393,1,0.3392,0.29961,0.15336,2.60251,0.15129,0.000113224,0.000113224,0.000113224
5,14.3609,0.791,2.85974,1.23782,0.00475,1,0.39089,0.39089,0.12948,2.60189,0.12551,0.000144089,0.000144089,0.000144089
6,15.3535,0.62363,2.78062,1.13861,0.00512,1,0.4975,0.44437,0.17632,2.59801,0.14004,0.000174293,0.000174293,0.000174293
7,16.364,0.45213,2.65383,1.04527,0.00511,1,0.42275,0.41337,0.2634,2.59661,0.16171,0.000203837,0.000203837,0.000203837
8,17.5164,0.41937,2.62164,1.02592,0.00513,1,0.62125,0.62125,0.2286,2.59355,0.16601,0.000232722,0.000232722,0.000232722
9,19.1719,0.32196,2.56869,0.99788,0.0052,1,0.745,0.745,0.21725,2.59178,0.15683,0.000260946,0.000260946,0.000260946
10,20.7374,0.35196,2.54013,0.98942,0.00496,1,0.57125,0.57125,0.21048,2.58278,0.15439,0.000288509,0.000288509,0.000288509
11,22.2342,0.3434,2.52023,0.98224,0.00479,1,0.41458,0.41458,0.17764,2.57686,0.14876,0.000315413,0.000315413,0.000315413
12,23.7034,0.31675,2.45181,0.97133,0.00467,1,0.4975,0.48472,0.17491,2.56961,0.14339,0.000341657,0.000341657,0.000341657
13,24.6872,0.28722,2.3919,0.96475,0.00414,1,0.58042,0.58042,0.2061,2.56087,0.14999,0.00036724,0.00036724,0.00036724
14,25.6402,0.28073,2.34356,0.93055,0.00373,1,0.4975,0.4975,0.20173,2.55905,0.13641,0.000392163,0.000392163,0.000392163
15,26.5983,0.27348,2.31568,0.9607,0.00347,1,0.4975,0.4975,0.19756,2.55011,0.13891,0.000416427,0.000416427,0.000416427
16,27.6159,0.285,2.26159,0.96125,0.00343,1,0.4975,0.4975,0.17279,2.54069,0.12516,0.00044003,0.00044003,0.00044003
17,28.6315,0.29741,2.20054,0.95669,0.00335,1,0.4975,0.4975,0.17354,2.52926,0.12661,0.000462973,0.000462973,0.000462973
18,29.7009,0.29566,2.13065,0.90968,0.00334,1,0.4975,0.4975,0.23254,2.50985,0.15404,0.000485255,0.000485255,0.000485255
19,30.7062,0.28623,2.04998,0.95289,0.00334,1,0.4975,0.47591,0.19117,2.48345,0.14975,0.000506878,0.000506878,0.000506878
20,31.7186,0.38445,2.03078,0.96951,0.00336,1,0.4975,0.47962,0.1351,2.46101,0.13806,0.000527841,0.000527841,0.000527841
21,32.7343,0.30916,1.95143,0.93428,0.0034,1,0.4975,0.4975,0.09935,2.43324,0.11995,0.000548143,0.000548143,0.000548143
22,33.7844,0.28178,1.83871,0.94464,0.0034,1,0.4975,0.48194,0.15531,2.38911,0.1281,0.000567785,0.000567785,0.000567785
23,35.1978,0.32144,1.77899,0.95001,0.00338,1,0.4975,0.4975,0.2244,2.34536,0.13641,0.000586767,0.000586767,0.000586767
24,36.582,0.35755,1.73827,0.96175,0.00339,1,0.62125,0.62125,0.20503,2.31684,0.1319,0.000605089,0.000605089,0.000605089
25,38.111,0.29668,1.66783,0.94476,0.00339,1,0.62125,0.57817,0.25287,2.28867,0.1526,0.000622751,0.000622751,0.000622751
26,39.6059,0.38164,1.5986,0.97946,0.0034,1,0.4975,0.39696,0.35851,2.2716,0.20964,0.000639753,0.000639753,0.000639753
27,40.8917,0.37578,1.53406,0.95489,0.62246,0.5,0.4975,0.42389,0.33123,2.23936,0.20737,0.000656095,0.000656095,0.000656095
28,41.8184,0.3312,1.51064,0.96207,0.62246,0.5,0.4975,0.42389,0.33123,2.23936,0.20737,0.000671776,0.000671776,0.000671776
29,42.9617,0.31805,1.46084,0.94196,0.72206,0.5,0.70417,0.44547,0.33099,2.19762,0.22913,0.000686797,0.000686797,0.000686797
30,44.026,0.30879,1.46946,0.95503,0.75859,0.5,0.82917,0.46464,0.35797,2.34935,0.27093,0.000701159,0.000701159,0.000701159
31,44.9833,0.31402,1.35635,0.92826,0.75859,0.5,0.82917,0.46464,0.35797,2.34935,0.27093,0.00071486,0.00071486,0.00071486
32,45.9908,0.27132,1.29226,0.94571,0.6157,0.5,0.45521,0.34723,0.57661,2.41145,0.37221,0.000727901,0.000727901,0.000727901
33,47.0952,0.28114,1.22427,0.94279,0.72695,0.22695,0.25112,0.20936,0.99633,2.26617,0.84722,0.000740281,0.000740281,0.000740281
34,48.0681,0.28657,1.22141,0.96563,0.72695,0.22695,0.25112,0.20936,0.99633,2.26617,0.84722,0.000752002,0.000752002,0.000752002
35,49.0471,0.30702,1.21549,0.9772,0.73546,0.5,0.39089,0.36157,0.98862,2.20612,0.85098,0.000763063,0.000763063,0.000763063
36,50.0078,0.34236,1.23734,0.97261,0.73873,0.5,0.4975,0.45316,1.19309,2.18914,1.28082,0.000773463,0.000773463,0.000773463
37,51.5607,0.29202,1.1615,0.94269,0.73873,0.5,0.4975,0.45316,1.19309,2.18914,1.28082,0.000783203,0.000783203,0.000783203
38,53.0743,0.28271,1.14128,0.93349,0.73425,0.5,0.74625,0.67375,1.1806,2.09333,1.24623,0.000792283,0.000792283,0.000792283
39,54.5897,0.25413,1.22423,0.98039,0.8523,0.5,0.91167,0.91167,0.30542,1.81793,0.24188,0.000800703,0.000800703,0.000800703
40,56.1558,0.26906,0.97823,0.9264,0.8523,0.5,0.91167,0.91167,0.30542,1.81793,0.24188,0.000808463,0.000808463,0.000808463
41,57.3772,0.31461,1.06746,0.94286,0.82882,0.5,0.74625,0.74625,0.21789,1.65506,0.15985,0.000815563,0.000815563,0.000815563
42,58.3567,0.33314,1.05362,0.988,0.81327,0.5,0.58042,0.58042,0.27186,1.58648,0.1694,0.000822003,0.000822003,0.000822003
43,59.3125,0.31144,1.04537,0.95349,0.81327,0.5,0.58042,0.58042,0.27186,1.58648,0.1694,0.000827782,0.000827782,0.000827782
44,60.3068,0.29535,1.00035,0.94726,0.81718,0.5,0.58042,0.58042,0.2782,1.55267,0.1592,0.000832902,0.000832902,0.000832902
45,61.2735,0.32618,0.95241,0.93713,0.81718,0.5,0.58042,0.58042,0.2782,1.55267,0.1592,0.000837361,0.000837361,0.000837361
46,62.2632,0.2904,0.95404,0.93287,0.816,0.5,0.58042,0.54507,0.3772,1.56481,0.19415,0.00084116,0.00084116,0.00084116
47,63.2575,0.24922,0.83486,0.90715,0.816,0.5,0.58042,0.54507,0.3772,1.56481,0.19415,0.000844299,0.000844299,0.000844299
48,64.3262,0.27292,0.85606,0.93904,0.86787,0.5,0.74625,0.6765,0.42677,1.56182,0.24228,0.000846778,0.000846778,0.000846778
49,65.2859,0.26957,0.84224,0.94061,0.86787,0.5,0.74625,0.6765,0.42677,1.56182,0.24228,0.000848596,0.000848596,0.000848596
50,66.2675,0.28323,0.91394,0.96287,0.94749,0.5,0.74625,0.66076,0.52091,1.53657,0.29036,0.000849755,0.000849755,0.000849755
51,67.538,0.2657,0.94747,0.96205,0.94749,0.5,0.74625,0.66076,0.52091,1.53657,0.29036,0.000841835,0.000841835,0.000841835
52,68.9585,0.27983,0.81491,0.98265,0.74258,0.75,0.78667,0.71315,0.40608,1.23504,0.22117,0.000825332,0.000825332,0.000825332
53,70.3867,0.25808,0.8192,0.91184,0.74258,0.75,0.78667,0.71315,0.40608,1.23504,0.22117,0.000808828,0.000808828,0.000808828
54,71.896,0.26543,0.83724,0.92369,0.63797,0.73535,0.70417,0.65532,0.39385,1.28041,0.20788,0.000792325,0.000792325,0.000792325
55,73.3074,0.27017,0.82533,0.9079,0.63797,0.73535,0.70417,0.65532,0.39385,1.28041,0.20788,0.000775822,0.000775822,0.000775822
56,74.5353,0.22752,0.72217,0.88935,0.24742,0.5,0.44775,0.41402,0.54584,2.37893,0.25881,0.000759318,0.000759318,0.000759318
57,75.4947,0.27959,0.87725,0.95644,0.24742,0.5,0.44775,0.41402,0.54584,2.37893,0.25881,0.000742815,0.000742815,0.000742815
58,76.4982,0.23597,0.7749,0.92367,0.24943,0.5,0.5715,0.52396,0.46062,2.73978,0.22288,0.000726312,0.000726312,0.000726312
59,77.4634,0.30571,0.78566,0.96968,0.24943,0.5,0.5715,0.52396,0.46062,2.73978,0.22288,0.000709809,0.000709809,0.000709809
60,78.4306,0.27254,0.7654,0.92196,0.32586,0.67677,0.62125,0.59138,0.34384,2.92526,0.18183,0.000693305,0.000693305,0.000693305
61,79.4028,0.26803,0.79154,0.92676,0.32586,0.67677,0.62125,0.59138,0.34384,2.92526,0.18183,0.000676802,0.000676802,0.000676802
62,80.3771,0.245,0.90384,0.9312,0.46451,0.94596,0.62125,0.62125,0.252,2.18205,0.14713,0.000660299,0.000660299,0.000660299
63,81.34,0.26243,0.88384,0.95008,0.46451,0.94596,0.62125,0.62125,0.252,2.18205,0.14713,0.000643795,0.000643795,0.000643795
64,82.4811,0.22917,0.82284,0.94607,0.75427,0.75,0.74583,0.74583,0.1901,1.27218,0.12694,0.000627292,0.000627292,0.000627292
65,83.436,0.2483,0.65986,0.9129,0.75427,0.75,0.74583,0.74583,0.1901,1.27218,0.12694,0.000610789,0.000610789,0.000610789
66,84.6799,0.27561,0.75861,0.9403,0.80977,0.75,0.78667,0.78667,0.12396,1.21036,0.10327,0.000594286,0.000594286,0.000594286
67,86.0679,0.23717,0.73432,0.91314,0.80977,0.75,0.78667,0.78667,0.12396,1.21036,0.10327,0.000577782,0.000577782,0.000577782
68,87.8267,0.24562,0.75094,0.93088,0.71464,0.75,0.87,0.87,0.14091,1.47423,0.11222,0.000561279,0.000561279,0.000561279
69,89.3029,0.2309,0.65503,0.90952,0.71464,0.75,0.87,0.87,0.14091,1.47423,0.11222,0.000544776,0.000544776,0.000544776
70,90.846,0.22354,0.72259,0.95312,0.65544,0.75,0.845,0.845,0.15034,1.57701,0.11657,0.000528272,0.000528272,0.000528272
71,91.805,0.22999,0.70271,0.92744,0.65544,0.75,0.845,0.845,0.15034,1.57701,0.11657,0.000511769,0.000511769,0.000511769
72,92.8079,0.21871,0.72127,0.88787,0.60128,0.75,0.76167,0.73322,0.17901,1.62247,0.12248,0.000495266,0.000495266,0.000495266
73,93.792,0.21217,0.69216,0.88841,0.60128,0.75,0.76167,0.73322,0.17901,1.62247,0.12248,0.000478762,0.000478762,0.000478762
74,94.783,0.20782,0.6928,0.927,0.65679,0.75,0.70417,0.67446,0.20526,1.48829,0.13632,0.000462259,0.000462259,0.000462259
75,95.7406,0.19496,0.68945,0.92625,0.65679,0.75,0.70417,0.67446,0.20526,1.48829,0.13632,0.000445756,0.000445756,0.000445756
76,96.7482,0.22831,0.73977,0.88682,0.7,0.75,0.70417,0.70417,0.19558,1.32114,0.13521,0.000429253,0.000429253,0.000429253
77,97.7102,0.23741,0.76016,0.92096,0.7,0.75,0.70417,0.70417,0.19558,1.32114,0.13521,0.000412749,0.000412749,0.000412749
78,98.6954,0.19008,0.65215,0.91198,0.77115,0.75,0.70417,0.70417,0.15723,1.19038,0.12668,0.000396246,0.000396246,0.000396246
79,99.6493,0.18133,0.54764,0.90951,0.77115,0.75,0.70417,0.70417,0.15723,1.19038,0.12668,0.000379743,0.000379743,0.000379743
80,100.661,0.18294,0.61533,0.89491,0.80419,0.75,0.70417,0.70417,0.1286,1.0937,0.12038,0.000363239,0.000363239,0.000363239
81,101.958,0.18139,0.598,0.8874,0.80419,0.75,0.70417,0.70417,0.1286,1.0937,0.12038,0.000346736,0.000346736,0.000346736
82,103.375,0.21556,0.63711,0.90621,0.80797,0.75,0.78667,0.78667,0.11209,1.10844,0.11433,0.000330233,0.000330233,0.000330233
83,104.906,0.17867,0.62202,0.89454,0.80797,0.75,0.78667,0.78667,0.11209,1.10844,0.11433,0.000313729,0.000313729,0.000313729
84,106.416,0.17328,0.57183,0.8507,0.80974,0.75,0.70417,0.70417,0.10787,1.15067,0.11189,0.000297226,0.000297226,0.000297226
85,107.895,0.18786,0.58085,0.88446,0.80974,0.75,0.70417,0.70417,0.10787,1.15067,0.11189,0.000280723,0.000280723,0.000280723
86,109.016,0.18942,0.65466,0.90946,0.75534,0.91393,0.91167,0.91167,0.1117,1.22913,0.11081,0.00026422,0.00026422,0.00026422
87,110.047,0.17302,0.58199,0.8995,0.75534,0.91393,0.91167,0.91167,0.1117,1.22913,0.11081,0.000247716,0.000247716,0.000247716
88,111.239,0.16846,0.51932,0.88235,0.75189,0.89031,0.995,0.995,0.11705,1.22833,0.11155,0.000231213,0.000231213,0.000231213
89,112.271,0.1802,0.64069,0.9101,0.75189,0.89031,0.995,0.995,0.11705,1.22833,0.11155,0.00021471,0.00021471,0.00021471
90,113.341,0.16854,0.52835,0.91201,0.80739,0.75,0.82833,0.82833,0.12072,1.22643,0.11333,0.000198206,0.000198206,0.000198206
91,115.038,0.16738,1.14237,0.84403,0.80739,0.75,0.82833,0.82833,0.12072,1.22643,0.11333,0.000181703,0.000181703,0.000181703
92,116.3,0.20928,1.47896,0.91107,0.80576,0.75,0.82833,0.82833,0.12362,1.26329,0.11664,0.0001652,0.0001652,0.0001652
93,117.251,0.18742,1.35441,0.87977,0.80576,0.75,0.82833,0.82833,0.12362,1.26329,0.11664,0.000148696,0.000148696,0.000148696
94,118.299,0.23113,1.41121,0.92321,0.80427,0.75,0.67917,0.67917,0.12444,1.35537,0.11952,0.000132193,0.000132193,0.000132193
95,119.903,0.17351,1.18367,0.8887,0.80427,0.75,0.67917,0.67917,0.12444,1.35537,0.11952,0.00011569,0.00011569,0.00011569
96,121.334,0.15395,1.14369,0.86857,0.80791,0.75,0.64167,0.64167,0.12077,1.34936,0.12042,9.91865e-05,9.91865e-05,9.91865e-05
97,122.769,0.15162,1.22419,0.92073,0.80791,0.75,0.64167,0.64167,0.12077,1.34936,0.12042,8.26832e-05,8.26832e-05,8.26832e-05
98,124.291,0.16788,1.17004,0.86545,0.81046,0.75,0.62917,0.62917,0.12343,1.31176,0.12358,6.61799e-05,6.61799e-05,6.61799e-05
99,125.532,0.15728,0.96101,0.85617,0.81046,0.75,0.62917,0.62917,0.12343,1.31176,0.12358,4.96766e-05,4.96766e-05,4.96766e-05
100,126.54,0.17069,1.19868,0.89131,0.81147,0.75,0.63472,0.63472,0.12424,1.2877,0.12333,3.31733e-05,3.31733e-05,3.31733e-05
